"dive number","date","time","sample time (min)","sample depth (m)","sample temperature (C)","sample pressure (bar)","sample heartrate"
"28","2025-07-05","15:32:55","19:20","8.2","17.0",,
"28","2025-07-05","15:32:55","19:30","7.2",,,
"28","2025-07-05","15:32:55","19:40","8",,,
"28","2025-07-05","15:32:55","19:50","7.6",,,
"28","2025-07-05","15:32:55","20:00","6.6",,,
"28","2025-07-05","15:32:55","20:10","6.7","18.0",,
"28","2025-07-05","15:32:55","20:20","7.4","17.0",,
"28","2025-07-05","15:32:55","20:30","8.6",,,
"28","2025-07-05","15:32:55","20:40","8.6",,,
"28","2025-07-05","15:32:55","20:50","8.5",,,
"28","2025-07-05","15:32:55","21:00","7.8",,,
"28","2025-07-05","15:32:55","21:10","7.8",,,
"28","2025-07-05","15:32:55","21:20","7.7",,,
"28","2025-07-05","15:32:55","21:30","7.1",,,
"28","2025-07-05","15:32:55","21:40","7.2",,,
"28","2025-07-05","15:32:55","21:50","7.7",,,
"28","2025-07-05","15:32:55","22:00","7.8",,,
"28","2025-07-05","15:32:55","22:10","7.5",,,
"28","2025-07-05","15:32:55","22:20","7.5",,,
"28","2025-07-05","15:32:55","22:30","7.3",,,
"28","2025-07-05","15:32:55","22:40","7.3",,,
"28","2025-07-05","15:32:55","22:50","8",,,
"28","2025-07-05","15:32:55","23:00","8.4",,,
"28","2025-07-05","15:32:55","23:10","8.6",,,
"28","2025-07-05","15:32:55","23:20","8.8","16.0",,
"28","2025-07-05","15:32:55","23:30","8.9",,,
"28","2025-07-05","15:32:55","23:40","9.1",,,
"28","2025-07-05","15:32:55","23:50","8.8",,,
"28","2025-07-05","15:32:55","24:00","8.4",,,
"28","2025-07-05","15:32:55","24:10","8","17.0",,
"28","2025-07-05","15:32:55","24:20","7.7",,,
"28","2025-07-05","15:32:55","24:30","7.5",,,
"28","2025-07-05","15:32:55","24:40","7.6",,,
"28","2025-07-05","15:32:55","24:50","8.1",,,
"28","2025-07-05","15:32:55","25:00","7.8",,,
"28","2025-07-05","15:32:55","25:10","8",,,
"28","2025-07-05","15:32:55","25:20","8.3",,,
"28","2025-07-05","15:32:55","25:30","8.3",,,
"28","2025-07-05","15:32:55","25:40","8.3",,,
"28","2025-07-05","15:32:55","25:50","8.2",,,
"28","2025-07-05","15:32:55","26:00","8.2",,,
"28","2025-07-05","15:32:55","26:10","8.1",,,
"28","2025-07-05","15:32:55","26:20","8.3",,,
"28","2025-07-05","15:32:55","26:30","8.3",,,
